hpo_iri,hpo_label,term,term_label,do_type,digital_object,file_url
http://purl.obolibrary.org/obo/HP_0100318,Lafora bodies,http://purl.obolibrary.org/obo/UBERON_0000955,brain,ref-organ,https://purl.humanatlas.io/ref-organ/brain-male,https://cdn.humanatlas.io/digital-objects/ref-organ/brain-male/v1.4/assets/3d-allen-m-brain.glb
http://purl.obolibrary.org/obo/HP_0033377,Increased airway neuroendocrine cells,http://purl.obolibrary.org/obo/UBERON_0002185,bronchus,ref-organ,https://purl.humanatlas.io/ref-organ/lung-female,https://cdn.humanatlas.io/digital-objects/ref-organ/lung-female/v1.4/assets/3d-vh-f-lung.glb
http://purl.obolibrary.org/obo/HP_0033377,Increased airway neuroendocrine cells,http://purl.obolibrary.org/obo/UBERON_0002185,bronchus,ref-organ,https://purl.humanatlas.io/ref-organ/lung-male,https://cdn.humanatlas.io/digital-objects/ref-organ/lung-male/v1.4/assets/3d-vh-m-lung.glb
http://purl.obolibrary.org/obo/HP_0031956,Elevated circulating aspartate aminotransferase concentration,http://purl.obolibrary.org/obo/UBERON_0002107,liver,ref-organ,https://purl.humanatlas.io/ref-organ/liver-female,https://cdn.humanatlas.io/digital-objects/ref-organ/liver-female/v1.2/assets/3d-vh-f-liver.glb
http://purl.obolibrary.org/obo/HP_0031956,Elevated circulating aspartate aminotransferase concentration,http://purl.obolibrary.org/obo/UBERON_0002107,liver,ref-organ,https://purl.humanatlas.io/ref-organ/liver-male,https://cdn.humanatlas.io/digital-objects/ref-organ/liver-male/v1.2/assets/3d-vh-m-liver.glb
http://purl.obolibrary.org/obo/HP_0033549,Nodular mesangiosclerosis,http://purl.obolibrary.org/obo/UBERON_0001225,cortex of kidney,ref-organ,https://purl.humanatlas.io/ref-organ/kidney-female-left,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-female-left/v1.3/assets/3d-vh-f-kidney-l.glb
http://purl.obolibrary.org/obo/HP_0033549,Nodular mesangiosclerosis,http://purl.obolibrary.org/obo/UBERON_0001225,cortex of kidney,ref-organ,https://purl.humanatlas.io/ref-organ/kidney-female-right,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-female-right/v1.3/assets/3d-vh-f-kidney-r.glb
http://purl.obolibrary.org/obo/HP_0033549,Nodular mesangiosclerosis,http://purl.obolibrary.org/obo/UBERON_0001225,cortex of kidney,ref-organ,https://purl.humanatlas.io/ref-organ/kidney-male-left,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-left/v1.3/assets/3d-vh-m-kidney-l.glb
http://purl.obolibrary.org/obo/HP_0033549,Nodular mesangiosclerosis,http://purl.obolibrary.org/obo/UBERON_0001225,cortex of kidney,ref-organ,https://purl.humanatlas.io/ref-organ/kidney-male-right,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-right/v1.3/assets/3d-vh-m-kidney-r.glb
http://purl.obolibrary.org/obo/HP_0001413,Micronodular cirrhosis,http://purl.obolibrary.org/obo/UBERON_0002107,liver,ref-organ,https://purl.humanatlas.io/ref-organ/liver-female,https://cdn.humanatlas.io/digital-objects/ref-organ/liver-female/v1.2/assets/3d-vh-f-liver.glb
